ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in income (2020),Inequality in income (2021),,,,,,,,,
AGO,Angola,Africa,Southern Hemisphere,Medium,SSA,148,28.87733,28.87733,,,,,,,,,
ALB,Albania,Europe,Northern Hemisphere,High,ECA,67,13.17898,13.17898,,,,,,,,,
ARG,Argentina,America,Southern Hemisphere,Very High,LAC,47,28.099767,28.099767,,,,,,,,,
ARM,Armenia,Asia,Northern Hemisphere,High,ECA,85,17.43837,17.43837,,,,,,,,,
BDI,Burundi,Africa,Southern Hemisphere,Low,SSA,187,20.92933,20.92933,,,,,,,,,
BEN,Benin,Africa,Northern Hemisphere,Low,SSA,166,31.97436,31.97436,,,,,,,,,
BFA,Burkina Faso,Africa,Northern Hemisphere,Low,SSA,184,17.31173505,17.31173505,,,,,,,,,
BLR,Belarus,Europe,Northern Hemisphere,Very High,ECA,60,9.64549,9.64549,,,,,,,,,
BOL,Bolivia,America,Southern Hemisphere,Medium,LAC,118,26.863258,26.863258,,,,,,,,,
BRA,Brazil,America,Southern Hemisphere,High,LAC,87,41.306376,41.306376,,,,,,,,,
BRB,Barbados,America,Northern Hemisphere,High,LAC,70,33.58537775,33.58537775,,,,,,,,,
BTN,Bhutan,Asia,Northern Hemisphere,Medium,SA,127,19.95514103,19.95514103,,,,,,,,,
CAF,Central African Republic,Africa,Northern Hemisphere,Low,SSA,188,49.19459,49.19459,,,,,,,,,
CHL,Chile,America,Southern Hemisphere,Very High,LAC,42,28.273047,28.273047,,,,,,,,,
CHN,China,Asia,Northern Hemisphere,High,EAP,79,27.391,27.391,,,,,,,,,
CIV,Ivory Coast,Africa,Northern Hemisphere,Medium,SSA,159,27.04145,27.04145,,,,,,,,,
COD,The Democratic Republic of the Congo,Africa,Northern Hemisphere,Low,SSA,179,27.63249,27.63249,,,,,,,,,
COG,Congo,Africa,Southern Hemisphere,Medium,SSA,153,30.99925,30.99925,,,,,,,,,
COL,Colombia,America,Northern Hemisphere,High,LAC,88,37.712196,37.712196,,,,,,,,,
CRI,Costa Rica,America,Northern Hemisphere,Very High,LAC,58,33.41354,33.41354,,,,,,,,,
DJI,Djibouti,Africa,Northern Hemisphere,Low,AS,171,27.74495175,27.74495175,,,,,,,,,
DOM,Dominican Republic,America,Northern Hemisphere,High,LAC,80,25.628189,25.628189,,,,,,,,,
ECU,Ecuador,America,Southern Hemisphere,High,LAC,95,31.050541,31.050541,,,,,,,,,
ETH,Ethiopia,Africa,Northern Hemisphere,Low,SSA,175,12.07582,12.07582,,,,,,,,,
GEO,Georgia,Asia,Northern Hemisphere,Very High,ECA,63,24.85,24.85,,,,,,,,,
GHA,Ghana,Africa,Northern Hemisphere,Medium,SSA,133,24.14249,24.14249,,,,,,,,,
GMB,Gambia,Africa,Northern Hemisphere,Low,SSA,174,17.46726,17.46726,,,,,,,,,
GNB,Guinea-Bissau,Africa,Northern Hemisphere,Low,SSA,177,37.9,37.9,,,,,,,,,
GTM,Guatemala,America,Northern Hemisphere,Medium,LAC,135,29.56,29.56,,,,,,,,,
GUY,Guyana,America,Northern Hemisphere,High,LAC,108,25.1,25.1,,,,,,,,,
HND,Honduras,America,Northern Hemisphere,Medium,LAC,137,34.911526,34.911526,,,,,,,,,
HTI,Haiti,America,Northern Hemisphere,Low,LAC,163,50.43867,50.43867,,,,,,,,,
IND,India,Asia,Northern Hemisphere,Medium,SA,132,19.369,19.369,,,,,,,,,
JOR,Jordan,Asia,Northern Hemisphere,High,AS,102,17.91185,17.91185,,,,,,,,,
KAZ,Kazakhstan,Asia,Northern Hemisphere,Very High,ECA,56,10.33987,10.33987,,,,,,,,,
KEN,Kenya,Africa,Northern Hemisphere,Medium,SSA,152,33.14821,33.14821,,,,,,,,,
