ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in income (2020),Inequality in income (2021),Inequality in income (2022),,population
AFG,Afghanistan,Asia,Northern Hemisphere,Low,SA,180,,,,,27294031
AGO,Angola,Africa,Southern Hemisphere,Medium,SSA,148,28.87733,28.87733,28.87733,,3092228
ALB,Albania,Europe,Northern Hemisphere,High,ECA,67,13.17898,13.17898,13.17898,,3119029
ARE,United Arab Emirates,Asia,Northern Hemisphere,Very High,AS,26,,,,,3079179
ARG,Argentina,America,Southern Hemisphere,Very High,LAC,47,28.099767,28.099767,28.099767,,2991651
ARM,Armenia,Asia,Northern Hemisphere,High,ECA,85,17.43837,17.43837,17.43837,,2920039
ATG,Antigua and Barbuda,America,Northern Hemisphere,High,LAC,71,,,,,24591492
AUS,Australia,Oceania,Southern Hemisphere,Very High,,5,17.126,17.126,17.126,,28904298
AUT,Austria,Europe,Northern Hemisphere,Very High,,25,13.39422,14.93291,14.93291,,37565847
AZE,Azerbaijan,Asia,Northern Hemisphere,High,ECA,91,8.859,8.859,8.859,,8538606
BDI,Burundi,Africa,Southern Hemisphere,Low,SSA,187,20.92933,20.92933,20.92933,,9891790
BEL,Belgium,Europe,Northern Hemisphere,Very High,,13,11.00229,10.30447,10.30447,,11358379
BEN,Benin,Africa,Northern Hemisphere,Low,SSA,166,31.97436,31.97436,31.97436,,14268994
BFA,Burkina Faso,Africa,Northern Hemisphere,Low,SSA,184,14.31173505,17.31173505,17.31173505,,16983266
BGD,Bangladesh,Asia,Northern Hemisphere,Medium,SA,129,16.55655,16.55655,16.55655,,22549547
BGR,Bulgaria,Europe,Northern Hemisphere,High,,68,21.61938,23.00311,23.00311,,22549547
BHR,Bahrain,Asia,Northern Hemisphere,Very High,AS,35,,,,,22549547
BHS,Bahamas,America,Northern Hemisphere,Very High,LAC,55,,,,,22549547
BIH,Bosnia and Herzegovina,Europe,Northern Hemisphere,High,ECA,74,20.16037,20.16037,20.16037,,22549547
BLR,Belarus,Europe,Northern Hemisphere,Very High,ECA,60,9.64549,9.64549,9.64549,,22549547
BLZ,Belize,America,Northern Hemisphere,Medium,LAC,123,37.92633,37.92633,37.92633,,22549547
BOL,Bolivia,America,Southern Hemisphere,Medium,LAC,118,26.863258,26.863258,26.863258,,18224150
BRA,Brazil,America,Southern Hemisphere,High,LAC,87,41.306376,41.306376,41.306376,,18224150
BRB,Barbados,America,Northern Hemisphere,High,LAC,70,33.58537775,33.58537775,33.58537775,,20285531
BRN,Brunei,Asia,Northern Hemisphere,Very High,EAP,51,,,,,20285531
BTN,Bhutan,Asia,Northern Hemisphere,Medium,SA,127,19.95514103,19.95514103,19.95514103,,20953077
BWA,Botswana,Africa,Southern Hemisphere,Medium,SSA,117,,,,,20953077
CAF,Central African Republic,Africa,Northern Hemisphere,Low,SSA,188,49.19459,49.19459,49.19459,,20953077
CAN,Canada,America,Northern Hemisphere,Very High,,15,17.077,17.077,17.077,,20953077
CHE,Switzerland,Europe,Northern Hemisphere,Very High,,1,14.77567,15.58172,15.58172,,20953077
CHL,Chile,America,Southern Hemisphere,Very High,LAC,42,28.273047,28.273047,28.273047,,20953077
CHN,China,Asia,Northern Hemisphere,High,EAP,79,27.391,27.391,27.391,,20953077
CIV,Ivory Coast,Africa,Northern Hemisphere,Medium,SSA,159,27.04145,27.04145,27.04145,,20953077
CMR,Cameroon,Africa,Northern Hemisphere,Medium,SSA,151,34.98911,34.98911,34.98911,,20953077
COD,The Democratic Republic of the Congo,Africa,Northern Hemisphere,Low,SSA,179,27.63249,27.63249,27.63249,,20953077
COG,Congo,Africa,Southern Hemisphere,Medium,SSA,153,30.99925,30.99925,30.99925,,20953077
COL,Colombia,America,Northern Hemisphere,High,LAC,88,37.712196,37.712196,37.712196,,20953077
COM,Comoros,Africa,Southern Hemisphere,Medium,SSA,156,56.01338,56.01338,56.01338,,20953077
CRI,Costa Rica,America,Northern Hemisphere,Very High,LAC,58,33.41354,33.41354,33.41354,,21621840
CUB,Cuba,America,Northern Hemisphere,High,LAC,83,,,,,21621840
CYP,Cyprus,Asia,Northern Hemisphere,Very High,,29,13.09041,13.03255,13.03255,,21621840
CZE,Czechia,Europe,Northern Hemisphere,Very High,,32,8.71736,8.7672,8.7672,,22283390
DEU,Germany,Europe,Northern Hemisphere,Very High,,9,12.46003,12.46003,12.46003,,23605987
DJI,Djibouti,Africa,Northern Hemisphere,Low,AS,171,27.74495175,27.74495175,27.74495175,,23973058
DNK,Denmark,Europe,Northern Hemisphere,Very High,,6,10.88624,10.05068,10.05068,,23973058
DOM,Dominican Republic,America,Northern Hemisphere,High,LAC,80,25.628189,25.628189,25.628189,,24782949
DZA,Algeria,Africa,Northern Hemisphere,High,AS,91,11.5052,11.5052,11.5052,,24782949
ECU,Ecuador,America,Southern Hemisphere,High,LAC,95,31.050541,31.050541,31.050541,,25644506
EGY,Egypt,Africa,Northern Hemisphere,High,AS,97,36.503,36.503,36.503,,25644506
ESP,Spain,Europe,Northern Hemisphere,Very High,,27,19.10714,19.31195,19.31195,,25644506
EST,Estonia,Europe,Northern Hemisphere,Very High,,31,14.34588,14.98963,14.98963,,25644506
ETH,Ethiopia,Africa,Northern Hemisphere,Low,SSA,175,12.07582,12.07582,12.07582,,26066975
FIN,Finland,Europe,Northern Hemisphere,Very High,,11,10.33787,10.48338,10.48338,,26066975
FJI,Fiji,Oceania,Southern Hemisphere,High,EAP,99,,,,,26477152
FRA,France,Europe,Northern Hemisphere,Very High,,28,13.36567,13.91798,13.91798,,26878565
FSM,Micronesia,Oceania,Northern Hemisphere,Medium,EAP,134,26.38098943,26.38098943,26.38098943,,27277741
GAB,Gabon,Africa,Southern Hemisphere,High,SSA,112,21.2138981,21.2138981,21.2138981,,27684534
GBR,United Kingdom,Europe,Northern Hemisphere,Very High,,18,17.96959,17.96959,17.96959,,28105888
GEO,Georgia,Asia,Northern Hemisphere,Very High,ECA,63,24.85,24.85,24.85,,28105888
GHA,Ghana,Africa,Northern Hemisphere,Medium,SSA,133,24.14249,24.14249,24.14249,,28105888
GIN,Guinea,Africa,Northern Hemisphere,Low,SSA,182,17.83777,17.83777,17.83777,,28105888
GMB,Gambia,Africa,Northern Hemisphere,Low,SSA,174,17.46726,17.46726,17.46726,,28105888
GNB,Guinea-Bissau,Africa,Northern Hemisphere,Low,SSA,177,37.9,37.9,37.9,,28543364
GRC,Greece,Europe,Northern Hemisphere,Very High,,33,17.44667,16.63777,16.63777,,28543364
GTM,Guatemala,America,Northern Hemisphere,Medium,LAC,135,29.56,29.56,29.56,,28993987
GUY,Guyana,America,Northern Hemisphere,High,LAC,108,25.1,25.1,25.1,,29454738
HKG,Hong Kong,Asia,Northern Hemisphere,Very High,,4,25.56271964,25.56271964,25.56271964,,30388783
HND,Honduras,America,Northern Hemisphere,Medium,LAC,137,34.911526,34.911526,34.911526,,30857244
HRV,Croatia,Europe,Northern Hemisphere,Very High,,40,14.37065,12.9537,12.9537,,30857244
HTI,Haiti,America,Northern Hemisphere,Low,LAC,163,50.43867,50.43867,50.43867,,30857244
HUN,Hungary,Europe,Northern Hemisphere,Very High,,46,13.93919,12.29405,12.29405,,31326473
IDN,Indonesia,Asia,Southern Hemisphere,High,EAP,114,20.11727,20.11727,20.11727,,31326473
IND,India,Asia,Northern Hemisphere,Medium,SA,132,19.369,19.369,19.369,,31326473
IRL,Ireland,Europe,Northern Hemisphere,Very High,,8,14.70554,12.26296,12.26296,,31326473
IRN,Iran,Asia,Northern Hemisphere,High,SA,76,19.71428189,19.71428189,19.71428189,,31795517
IRQ,Iraq,Asia,Northern Hemisphere,Medium,AS,121,12.67895,12.67895,12.67895,,31795517
ISL,Iceland,Europe,Northern Hemisphere,Very High,,3,9.51407,9.51407,9.51407,,31795517
ISR,Israel,Asia,Northern Hemisphere,Very High,,22,23.134,23.134,23.134,,32263561
ITA,Italy,Europe,Northern Hemisphere,Very High,,30,20.87235,20.87235,20.87235,,32729739
JAM,Jamaica,America,Northern Hemisphere,High,LAC,110,31.96616,31.96616,31.96616,,32729739
JOR,Jordan,Asia,Northern Hemisphere,High,AS,102,17.91185,17.91185,17.91185,,33193918
JPN,Japan,Asia,Northern Hemisphere,Very High,,19,16.662889,16.662889,16.662889,,33193918
KAZ,Kazakhstan,Asia,Northern Hemisphere,Very High,ECA,56,10.33987,10.33987,10.33987,,33193918
KEN,Kenya,Africa,Northern Hemisphere,Medium,SSA,152,33.14821,33.14821,33.14821,,33193918
KGZ,Kyrgyzstan,Asia,Northern Hemisphere,Medium,ECA,118,13.83059,13.83059,13.83059,,33655151
KHM,Cambodia,Asia,Northern Hemisphere,Medium,EAP,146,14.34211,14.34211,14.34211,,33655151
KIR,Kiribati,Oceania,Northern Hemisphere,Medium,EAP,136,19.35687,19.35687,19.35687,,33655151
KOR,South Korea,Asia,Northern Hemisphere,Very High,,19,16.13,16.13,16.13,,33655151
KWT,Kuwait,Asia,Northern Hemisphere,Very High,AS,50,,,,,33655151
LAO,Lao,Asia,Northern Hemisphere,Medium,EAP,140,20.58334,20.58334,20.58334,,33655151
LBN,Lebanon,Asia,Northern Hemisphere,High,AS,112,,,,,33655151
LBR,Liberia,Africa,Northern Hemisphere,Low,SSA,178,22.72204,19.74577,19.74577,,34110917
LBY,Libya,Africa,Northern Hemisphere,High,AS,104,,,,,34110917
LCA,Saint Lucia,America,Northern Hemisphere,High,LAC,106,27.39586,27.39586,27.39586,,34110917
LKA,Sri Lanka,Asia,Northern Hemisphere,High,SA,73,22.36351,22.36351,22.36351,,34558115
LSO,Lesotho,Africa,Southern Hemisphere,Low,SSA,168,29.57664,29.57664,29.57664,,34558115
LTU,Lithuania,Europe,Northern Hemisphere,Very High,,35,20.12206,17.05362,17.05362,,34558115
LUX,Luxembourg,Europe,Northern Hemisphere,Very High,,17,18.68508,16.6522,16.6522,,34558115
LVA,Latvia,Europe,Northern Hemisphere,Very High,,39,19.33165,17.45024,17.45024,,34558115
MAR,Morocco,Africa,Northern Hemisphere,Medium,AS,123,22.50352,22.50352,22.50352,,34994814
MCO,Monaco,Europe,Northern Hemisphere,,,,,,,,34994814
MDA,Moldova,Europe,Northern Hemisphere,High,ECA,80,10.43722208,10.43722208,10.43722208,,34994814
MDG,Madagascar,Africa,Southern Hemisphere,Low,SSA,173,27.557,27.557,27.557,,34994814
MDV,Maldives,Asia,Northern Hemisphere,High,SA,90,25.8459,25.8459,25.8459,,35419682
MEX,Mexico,America,Northern Hemisphere,High,LAC,86,29.798888,29.798888,29.798888,,35419682
MHL,Marshall Islands,Oceania,Northern Hemisphere,Medium,EAP,131,,,,,35419682
MKD,North Macedonia,Europe,Northern Hemisphere,High,ECA,78,19.15726,19.15726,19.15726,,35419682
MLI,Mali,Africa,Northern Hemisphere,Low,SSA,186,16.56372,16.56372,16.56372,,35419682
MLT,Malta,Europe,Northern Hemisphere,Very High,,23,12.58503,13.85802,13.85802,,35833969
MMR,Myanmar,Asia,Northern Hemisphere,Medium,EAP,149,,,,,35833969
MNE,Montenegro,Europe,Northern Hemisphere,Very High,ECA,49,16.92405,16.92405,16.92405,,35833969
