country,2021,2022,2023
Afghanistan,36.8,36.8,36.8
Albania,29,29,29
Algeria,27.6,27.6,27.6
Andorra,40,40,40
Angola,42.6,42.6,42.6
Antigua and Barbuda,40,40,40
Argentina,42.4,42.4,42.4
Armenia,32.6,32.6,32.6
Australia,32.3,32.3,32.3
Austria,30.5,30.5,30.5
Azerbaijan,32.4,32.4,32.4
Bahamas,43.7,43.7,43.7
Bahrain,40,40,40
Bangladesh,32.4,32.4,32.4
Barbados,43.8,43.8,43.8
Belarus,27,27,27
Belgium,27.7,27.7,27.7
Belize,53.3,53.3,53.3
Benin,47.8,47.8,47.8
Bhutan,37.4,37.4,37.4
Bolivia,44.6,44.6,44.6
Bosnia and Herzegovina,32.7,32.7,32.7
Botswana,60.5,60.5,60.5
Brazil,51.3,51.3,51.3
Brunei,40,40,40
Bulgaria,37.4,37.4,37.4
Burkina Faso,35.3,35.3,35.3
Burundi,38.6,38.6,38.6
Cambodia,42,42,42
Cameroon,46.6,46.6,46.6
Canada,31.1,31.1,31.1
Cape Verde,47.2,47.2,47.2
Central African Republic,56.2,56.2,56.2
Chad,43.3,43.3,43.3
Chile,47.7,47.7,47.7
China,39.1,39.1,39.1
Colombia,50.8,50.8,50.8
Comoros,45.3,45.3,45.3
"Congo, Dem. Rep.",42.1,42.1,42.1
"Congo, Rep.",48.9,48.9,48.9
Costa Rica,48.7,48.7,48.7
Cote d'Ivoire,41.5,41.5,41.5
Croatia,31.1,31.1,31.1
Cuba,43.4,43.4,43.4
Cyprus,34,34,34
Czech Republic,25.9,25.9,25.9
Denmark,28.2,28.2,28.2
Djibouti,44.1,44.1,44.1
Dominica,40,40,40
Dominican Republic,45.3,45.3,45.3
Ecuador,45,45,45
Egypt,31.8,31.8,31.8
El Salvador,40,40,40
Equatorial Guinea,40,40,40
Eritrea,40,40,40
Estonia,32.7,32.7,32.7
Ethiopia,39.1,39.1,39.1
Fiji,36.7,36.7,36.7
Finland,27.1,27.1,27.1
France,32.7,32.7,32.7
Gabon,38,38,38
Gambia,35.9,35.9,35.9
Georgia,36.5,36.5,36.5
Germany,31.7,31.7,31.7
Ghana,42.4,42.4,42.4
Greece,36,36,36
Grenada,40,40,40
Guatemala,48.3,48.3,48.3
Guinea,33.7,33.7,33.7
Guinea-Bissau,50.7,50.7,50.7
Guyana,43.2,43.2,43.2
Haiti,50.9,50.9,50.9
Holy See,40,40,40
Honduras,50.1,50.1,50.1
Hungary,30.4,30.4,30.4
Iceland,27.8,27.8,27.8
India,35.1,35.1,35.1
Indonesia,38.2,38.2,38.2
Iran,38.8,38.8,38.8
