Country,2020,2021,2022
Afghanistan,46.4,36.8,39.8
Albania,36.1,30.7,29
Algeria,41.1,32.6,27.6
Andorra,39.9,39.8,40.3
Angola,39.1,51.3,42.6
Antigua and Barbuda,40,40,40
Argentina,50.8,51.7,42.4
Armenia,57.3,35,32.6
Australia,42.7,33.4,32.3
Austria,22.8,29,30.5
Azerbaijan,69,35.5,32.4
Bahamas,40,43.7,43.7
Bahrain,40.1,40.6,39.7
Bangladesh,31.8,33.3,32.4
Barbados,40,45.1,43.8
Belarus,48.1,30.5,27
Belgium,34.6,28,27.7
Belize,60.3,53.3,53.3
Benin,37.3,38.9,47.8
Bhutan,40.9,40.9,37.4
Bolivia,39.2,58.7,44.6
Bosnia and Herzegovina,30,30.8,32.7
Botswana,47,63.9,60.5
Brazil,30.9,58.4,51.3
Brunei,22.1,38.9,40.5
Bulgaria,44,30.6,37.4
Burkina Faso,38.1,45.9,35.3
Burundi,35.1,39.8,38.6
Cambodia,42,42,42
Cameroon,28.5,42.5,46.6
Canada,42.7,33.4,31.1
Cape Verde,52.5,52.3,47.2
Central African Republic,57.6,47.2,56.2
Chad,33.7,39.8,43.3
Chile,60,52.5,47.7
China,31.8,40,39.1
Colombia,55.2,56.8,50.8
Comoros,34.1,48.8,45.3
"Congo, Dem. Rep.",40.4,42.2,42.1
"Congo, Rep.",48.7,46.9,48.9
Costa Rica,42.1,49.6,48.7
Cote d'Ivoire,40.3,40.7,41.5
Croatia,25.2,30.2,31.1
Cuba,40,42.4,43.4
Cyprus,30.1,30.1,34
Czech Republic,33.7,26.9,25.9
Denmark,32.1,24.9,28.2
Djibouti,36.5,40.1,44.1
Dominica,40,40,40
Dominican Republic,39.9,51.1,45.3
Ecuador,41.9,55.6,45
Egypt,24.9,32.4,31.8
El Salvador,41.2,51.5,40
Equatorial Guinea,40,40,40
Eritrea,40,40,40
Estonia,43.9,36.1,32.7
Ethiopia,47.7,30.7,39.1
Fiji,35.3,38.1,36.7
Finland,43.8,27.2,27.1
France,69,31.7,32.7
Gabon,46.3,45,38
Gambia,39.6,47.9,35.9
Georgia,26.9,38.8,36.5
Germany,45.6,29.8,31.7
Ghana,41.6,40.8,42.4
Greece,47.6,32.9,36
Grenada,40,40,40
Guatemala,37.4,54.4,48.3
Guinea,34.4,43.8,33.7
Guinea-Bissau,49.5,37,50.7
Guyana,39.5,43.2,43.2
Haiti,47.5,58.9,50.9
Holy See,40,40,40
Honduras,58.5,55.9,50.1
Hungary,33.4,27.9,30.4
Iceland,25.8,26.8,27.8
India,37.2,33.1,35.1
Indonesia,30.8,30.5,38.2
Iran,48.2,43.9,38.8
Iraq,34.6,28.6,29.5
Ireland,32.2,33.9,31.8
Israel,34.7,39.2,41.4
Italy,51.9,34.3,35.4
Jamaica,41.3,46.3,45.5
Japan,40.7,31.3,32.1
Jordan,36.9,36.8,33.7
Kazakhstan,35.3,35.3,26.9
Kenya,50.5,45.6,40.8
Kiribati,37,37,37
Kuwait,40,40,40
Kyrgyz Republic,35.3,31.8,26.8
Lao,32.6,33.5,36.4
Latvia,42.1,34.8,34.2
Lebanon,35.6,33.7,31.8
Lesotho,56,54.5,54.2
Liberia,36.5,36.5,33.2
Libya,40,40,40
Lithuania,41.7,32.6,37.4
Luxembourg,33.9,30,33.8
Madagascar,38.8,43.7,42.7
Malawi,43.9,54.7,45.5
Malaysia,32.7,47.4,41
Maldives,41.3,41.3,38.4
Mali,49.2,41.4,33
Malta,28,28,29.4
Marshall Islands,40,40,40
Mauritania,40.3,39.3,32.6
Mauritius,38.6,34.5,35.8
Mexico,44.3,50.6,45.9
"Micronesia, Fed. Sts.",42.4,42.4,40.1
Moldova,40.6,37.6,26.4
Monaco,40,40,40
Mongolia,32,32.2,32.4
Montenegro,30.2,30.2,31.9
Morocco,43.9,40.3,39.6
Mozambique,53,49.2,54
Myanmar,36.8,38.1,38.1
Namibia,48.3,65.2,59.1
Nauru,40,40,40
Nepal,25.8,40.6,32.8
Netherlands,48.9,30.6,28.2
New Zealand,38.2,33.6,35
Nicaragua,39.4,47.8,46.2
Niger,34.9,43.3,34.3
Nigeria,40,44.5,43
North Korea,37,37,37
North Macedonia,30.6,35.8,35.6
Norway,36.1,28.2,27.5
Oman,40,40,40
Pakistan,37.6,31.6,33.5
Palau,40,40,40
Palestine,34,34,33.7
Panama,42.9,56.4,50.4
Papua New Guinea,47.2,50.6,41.9
Paraguay,40.8,55.2,47.9
Peru,46.7,52.9,43.8
Philippines,42.9,44.8,42.2
Poland,30.9,33.5,30.8
